candidate_id,rank,score,reasoning
CAND_0081846,1,70.6639,"Lead AI Engineer with 6.7 years of experience. Verified core AI/Search expertise in qdrant, elasticsearch, embeddings. Verified availability with a 73% platform response rate."
CAND_0018499,2,68.7613,"Senior Machine Learning Engineer with 7.2 years of experience. Verified core AI/Search expertise in pinecone, weaviate, milvus. Verified availability with a 61% platform response rate."
CAND_0046064,3,68.5355,"Senior NLP Engineer with 8.9 years of experience. Verified core AI/Search expertise in pinecone, elasticsearch, opensearch. Verified availability with a 78% platform response rate."
CAND_0011162,4,68.2452,"Recommendation Systems Engineer with 5.8 years of experience. Verified core AI/Search expertise in faiss, pinecone, weaviate. Verified availability with a 75% platform response rate."
CAND_0001494,5,68.1004,"Data Scientist with 6.4 years of experience. Verified core AI/Search expertise in weaviate, nlp, search. Verified availability with a 30% platform response rate."
CAND_0011687,6,68.0381,"Senior NLP Engineer with 7.8 years of experience. Verified core AI/Search expertise in faiss, weaviate, opensearch. Verified availability with a 89% platform response rate."
CAND_0033861,7,67.9868,"Senior NLP Engineer with 8.0 years of experience. Verified core AI/Search expertise in pinecone, weaviate, qdrant. Verified availability with a 16% platform response rate."
CAND_0065277,8,67.9674,"Computer Vision Engineer with 6.3 years of experience. Verified core AI/Search expertise in milvus, sentence transformers, llm. Verified availability with a 37% platform response rate."
CAND_0046525,9,67.8019,"Senior Machine Learning Engineer with 6.1 years of experience. Verified core AI/Search expertise in qdrant, elasticsearch, sentence transformers. Verified availability with a 88% platform response rate."
CAND_0086022,10,67.7094,"Senior Applied Scientist with 5.3 years of experience. Verified core AI/Search expertise in pinecone, elasticsearch, embeddings. Verified availability with a 55% platform response rate."
CAND_0049615,11,67.7092,"ML Engineer with 5.1 years of experience. Verified core AI/Search expertise in pinecone, pytorch, nlp. Verified availability with a 28% platform response rate."
CAND_0002120,12,67.5847,"ML Engineer with 6.5 years of experience. Verified core AI/Search expertise in pinecone, qdrant, embeddings. Verified availability with a 72% platform response rate."
CAND_0071974,13,67.4586,"Senior AI Engineer with 7.8 years of experience. Verified core AI/Search expertise in pinecone, weaviate, qdrant. Verified availability with a 76% platform response rate."
CAND_0075574,14,67.455,"Machine Learning Engineer with 5.7 years of experience. Verified core AI/Search expertise in weaviate, qdrant, elasticsearch. Verified availability with a 57% platform response rate."
CAND_0008425,15,67.4277,"Senior NLP Engineer with 7.8 years of experience. Verified core AI/Search expertise in qdrant, sentence transformers, hugging face. Verified availability with a 66% platform response rate."
CAND_0003557,16,67.4203,"ML Engineer with 6.8 years of experience. Verified core AI/Search expertise in weaviate, elasticsearch, sentence transformers. Verified availability with a 47% platform response rate."
CAND_0058412,17,67.3593,"Senior Software Engineer (ML) with 6.6 years of experience. Verified core AI/Search expertise in milvus, embeddings, llm. Verified availability with a 43% platform response rate."
CAND_0032179,18,67.3401,"Computer Vision Engineer with 6.4 years of experience. Verified core AI/Search expertise in weaviate, embeddings, pytorch. Verified availability with a 46% platform response rate."
CAND_0010603,19,67.3348,"ML Engineer with 5.3 years of experience. Verified core AI/Search expertise in opensearch, search, retrieval. Verified availability with a 94% platform response rate."
CAND_0099751,20,67.3342,"Junior ML Engineer with 5.5 years of experience. Verified core AI/Search expertise in weaviate, sentence transformers, hugging face. Verified availability with a 64% platform response rate."
CAND_0091909,21,67.3322,"Machine Learning Engineer with 6.9 years of experience. Verified core AI/Search expertise in pinecone, qdrant, opensearch. Verified availability with a 65% platform response rate."
CAND_0045613,22,67.3237,"Computer Vision Engineer with 5.0 years of experience. Verified core AI/Search expertise in pinecone, qdrant, embeddings. Verified availability with a 63% platform response rate."
CAND_0054829,23,67.2375,Computer Vision Engineer with 5.7 years of experience. Verified core AI/Search expertise in pinecone. Verified availability with a 75% platform response rate.
CAND_0083852,24,67.2348,"Data Scientist with 6.0 years of experience. Verified core AI/Search expertise in pinecone, qdrant, sentence transformers. Verified availability with a 85% platform response rate."
CAND_0044222,25,67.2109,"AI Engineer with 7.7 years of experience. Verified core AI/Search expertise in weaviate, qdrant, opensearch. Verified availability with a 60% platform response rate."
CAND_0018549,26,67.1812,"Recommendation Systems Engineer with 6.8 years of experience. Verified core AI/Search expertise in weaviate, qdrant, milvus. Verified availability with a 73% platform response rate."
CAND_0068932,27,67.137,"ML Engineer with 5.2 years of experience. Verified core AI/Search expertise in milvus, opensearch, search. Verified availability with a 82% platform response rate."
CAND_0095567,28,67.1361,"Data Scientist with 5.1 years of experience. Verified core AI/Search expertise in weaviate, milvus, hugging face. Verified availability with a 52% platform response rate."
CAND_0051630,29,67.1351,"Machine Learning Engineer with 6.0 years of experience. Verified core AI/Search expertise in elasticsearch, opensearch, embeddings. Verified availability with a 51% platform response rate."
CAND_0042029,30,67.1309,"Senior Data Scientist with 6.5 years of experience. Verified core AI/Search expertise in weaviate, elasticsearch, opensearch. Verified availability with a 67% platform response rate."
CAND_0061175,31,67.0902,"AI Research Engineer with 6.7 years of experience. Verified core AI/Search expertise in qdrant, milvus, sentence transformers. Verified availability with a 48% platform response rate."
CAND_0087766,32,67.084,"Computer Vision Engineer with 5.1 years of experience. Verified core AI/Search expertise in faiss, elasticsearch, hugging face. Verified availability with a 33% platform response rate."
CAND_0053591,33,67.0803,"AI Engineer with 5.3 years of experience. Verified core AI/Search expertise in qdrant, milvus, opensearch. Verified availability with a 81% platform response rate."
CAND_0048166,34,67.0563,"ML Engineer with 5.2 years of experience. Verified core AI/Search expertise in pinecone, qdrant, milvus. Verified availability with a 48% platform response rate."
CAND_0002025,35,67.0502,"Senior AI Engineer with 5.9 years of experience. Verified core AI/Search expertise in faiss, pinecone, weaviate. Verified availability with a 80% platform response rate."
CAND_0049978,36,67.0433,"Senior Software Engineer (ML) with 6.6 years of experience. Verified core AI/Search expertise in weaviate, embeddings, hugging face. Verified availability with a 71% platform response rate."
CAND_0039383,37,67.0293,"Applied ML Engineer with 7.1 years of experience. Verified core AI/Search expertise in faiss, elasticsearch, hugging face. Verified availability with a 61% platform response rate."
CAND_0073007,38,66.9852,"AI Specialist with 5.8 years of experience. Verified core AI/Search expertise in faiss, milvus, embeddings. Verified availability with a 83% platform response rate."
CAND_0002037,39,66.9698,"ML Engineer with 5.5 years of experience. Verified core AI/Search expertise in pinecone, milvus, elasticsearch. Verified availability with a 37% platform response rate."
CAND_0057563,40,66.9675,"NLP Engineer with 6.8 years of experience. Verified core AI/Search expertise in elasticsearch, opensearch, hugging face. Verified availability with a 83% platform response rate."
CAND_0096172,41,66.9389,"NLP Engineer with 5.2 years of experience. Verified core AI/Search expertise in qdrant, elasticsearch, opensearch. Verified availability with a 47% platform response rate."
CAND_0075249,42,66.9237,"Applied ML Engineer with 6.2 years of experience. Verified core AI/Search expertise in pinecone, milvus, sentence transformers. Verified availability with a 82% platform response rate."
CAND_0030827,43,66.9141,"Senior Data Scientist with 5.4 years of experience. Verified core AI/Search expertise in faiss, qdrant, sentence transformers. Verified availability with a 52% platform response rate."
CAND_0081686,44,66.8617,"Search Engineer with 6.0 years of experience. Verified core AI/Search expertise in faiss, milvus, embeddings. Verified availability with a 91% platform response rate."
CAND_0081053,45,66.8452,"NLP Engineer with 5.4 years of experience. Verified core AI/Search expertise in weaviate, qdrant, opensearch. Verified availability with a 83% platform response rate."
CAND_0073883,46,66.8192,"AI Specialist with 5.3 years of experience. Verified core AI/Search expertise in faiss, opensearch, hugging face. Verified availability with a 92% platform response rate."
CAND_0092706,47,66.8044,"AI Research Engineer with 5.8 years of experience. Verified core AI/Search expertise in sentence transformers, hugging face, llm. Verified availability with a 78% platform response rate."
CAND_0041669,48,66.8013,"Recommendation Systems Engineer with 8.0 years of experience. Verified core AI/Search expertise in faiss, weaviate, qdrant. Verified availability with a 77% platform response rate."
CAND_0082489,49,66.7822,"ML Engineer with 5.3 years of experience. Verified core AI/Search expertise in weaviate, hugging face, search. Verified availability with a 71% platform response rate."
CAND_0037160,50,66.7682,"Data Scientist with 6.0 years of experience. Verified core AI/Search expertise in weaviate, embeddings, hugging face. Verified availability with a 74% platform response rate."
CAND_0008978,51,66.762,"Junior ML Engineer with 6.7 years of experience. Verified core AI/Search expertise in faiss, milvus, elasticsearch. Verified availability with a 28% platform response rate."
CAND_0030031,52,66.7559,"AI Engineer with 5.7 years of experience. Verified core AI/Search expertise in milvus, sentence transformers, pytorch. Verified availability with a 94% platform response rate."
CAND_0033911,53,66.7474,"Data Scientist with 6.9 years of experience. Verified core AI/Search expertise in faiss, sentence transformers, hugging face. Verified availability with a 76% platform response rate."
CAND_0044855,54,66.7379,"Senior Data Scientist with 6.6 years of experience. Verified core AI/Search expertise in pinecone, qdrant, opensearch. Verified availability with a 56% platform response rate."
CAND_0055139,55,66.7227,"ML Engineer with 6.9 years of experience. Verified core AI/Search expertise in elasticsearch, llm, search. Verified availability with a 25% platform response rate."
CAND_0025882,56,66.7092,"Senior Software Engineer (ML) with 5.6 years of experience. Verified core AI/Search expertise in faiss, milvus, search. Verified availability with a 79% platform response rate."
CAND_0010257,57,66.6884,"Senior Data Scientist with 6.5 years of experience. Verified core AI/Search expertise in qdrant, milvus, opensearch. Verified availability with a 72% platform response rate."
CAND_0092255,58,66.6202,"ML Engineer with 5.2 years of experience. Verified core AI/Search expertise in weaviate, opensearch, pytorch. Verified availability with a 38% platform response rate."
CAND_0047721,59,66.6182,"Senior Data Scientist with 7.0 years of experience. Verified core AI/Search expertise in faiss, qdrant, milvus. Verified availability with a 49% platform response rate."
CAND_0001930,60,66.5895,"Senior Software Engineer (ML) with 6.9 years of experience. Verified core AI/Search expertise in milvus, embeddings, llm. Verified availability with a 65% platform response rate."
CAND_0030953,61,66.5642,"Search Engineer with 7.8 years of experience. Verified core AI/Search expertise in weaviate, qdrant, hugging face. Verified availability with a 63% platform response rate."
CAND_0062247,62,66.555,"AI Engineer with 7.3 years of experience. Verified core AI/Search expertise in pinecone, qdrant, hugging face. Verified availability with a 78% platform response rate."
CAND_0062772,63,66.5535,"Senior Software Engineer (ML) with 6.6 years of experience. Verified core AI/Search expertise in milvus, elasticsearch, search. Verified availability with a 86% platform response rate."
CAND_0000165,64,66.5378,"AI Specialist with 6.8 years of experience. Verified core AI/Search expertise in qdrant, sentence transformers, search. Verified availability with a 30% platform response rate."
CAND_0043228,65,66.5161,"Applied ML Engineer with 6.8 years of experience. Verified core AI/Search expertise in weaviate, opensearch, sentence transformers. Verified availability with a 41% platform response rate."
CAND_0078492,66,66.5114,"Recommendation Systems Engineer with 5.1 years of experience. Verified core AI/Search expertise in faiss, qdrant, elasticsearch. Verified availability with a 70% platform response rate."
CAND_0072020,67,66.5094,"Senior Software Engineer (ML) with 6.1 years of experience. Verified core AI/Search expertise in milvus, elasticsearch, search. Verified availability with a 38% platform response rate."
CAND_0066035,68,66.5043,"Data Scientist with 6.7 years of experience. Verified core AI/Search expertise in weaviate, sentence transformers, llm. Verified availability with a 34% platform response rate."
CAND_0005509,69,66.4816,"Data Scientist with 6.0 years of experience. Verified core AI/Search expertise in qdrant, llm. Verified availability with a 40% platform response rate."
CAND_0061244,70,66.4312,"Computer Vision Engineer with 6.2 years of experience. Verified core AI/Search expertise in qdrant, llm, recommendation. Verified availability with a 28% platform response rate."
CAND_0098454,71,66.4259,"AI Specialist with 6.6 years of experience. Verified core AI/Search expertise in pinecone, weaviate, opensearch. Verified availability with a 87% platform response rate."
CAND_0018925,72,66.422,"AI Research Engineer with 5.8 years of experience. Verified core AI/Search expertise in elasticsearch, sentence transformers, search. Verified availability with a 45% platform response rate."
CAND_0098952,73,66.385,"AI Research Engineer with 5.5 years of experience. Verified core AI/Search expertise in opensearch, nlp, recommendation. Verified availability with a 66% platform response rate."
CAND_0017960,74,66.3453,"Recommendation Systems Engineer with 7.7 years of experience. Verified core AI/Search expertise in qdrant, hugging face, retrieval. Verified availability with a 72% platform response rate."
CAND_0043304,75,66.3362,"Junior ML Engineer with 6.5 years of experience. Verified core AI/Search expertise in qdrant, sentence transformers, hugging face. Verified availability with a 75% platform response rate."
CAND_0026640,76,66.3318,"Computer Vision Engineer with 6.1 years of experience. Verified core AI/Search expertise in elasticsearch, llm, search. Verified availability with a 30% platform response rate."
CAND_0032515,77,66.328,"Machine Learning Engineer with 5.1 years of experience. Verified core AI/Search expertise in milvus, elasticsearch, pytorch. Verified availability with a 54% platform response rate."
CAND_0042100,78,66.3076,"Machine Learning Engineer with 7.3 years of experience. Verified core AI/Search expertise in pinecone, elasticsearch, pytorch. Verified availability with a 87% platform response rate."
CAND_0038099,79,66.2561,"Junior ML Engineer with 5.4 years of experience. Verified core AI/Search expertise in elasticsearch, search. Verified availability with a 81% platform response rate."
CAND_0077285,80,66.2345,"Recommendation Systems Engineer with 5.5 years of experience. Verified core AI/Search expertise in faiss, pinecone, milvus. Verified availability with a 56% platform response rate."
CAND_0006418,81,66.2198,"Machine Learning Engineer with 5.7 years of experience. Verified core AI/Search expertise in weaviate, qdrant, elasticsearch. Verified availability with a 92% platform response rate."
CAND_0068081,82,66.2157,"Computer Vision Engineer with 6.2 years of experience. Verified core AI/Search expertise in pinecone, milvus, elasticsearch. Verified availability with a 31% platform response rate."
CAND_0069638,83,66.193,"Computer Vision Engineer with 6.2 years of experience. Verified core AI/Search expertise in pinecone, pytorch, llm. Verified availability with a 64% platform response rate."
CAND_0087006,84,66.1883,"Senior Software Engineer (ML) with 5.7 years of experience. Verified core AI/Search expertise in nlp, search, retrieval. Verified availability with a 32% platform response rate."
CAND_0094056,85,66.1163,"NLP Engineer with 5.9 years of experience. Verified core AI/Search expertise in pinecone, milvus, embeddings. Verified availability with a 82% platform response rate."
CAND_0080766,86,66.0985,"Staff Machine Learning Engineer with 8.8 years of experience. Verified core AI/Search expertise in milvus, elasticsearch, opensearch. Verified availability with a 66% platform response rate."
CAND_0000273,87,66.0831,"ML Engineer with 5.8 years of experience. Verified core AI/Search expertise in qdrant, llm. Verified availability with a 47% platform response rate."
CAND_0001600,88,66.0649,"AI Specialist with 6.2 years of experience. Verified core AI/Search expertise in elasticsearch, sentence transformers, hugging face. Verified availability with a 42% platform response rate."
CAND_0009236,89,66.0201,AI Specialist with 6.3 years of experience. Verified core AI/Search expertise in pinecone. Verified availability with a 32% platform response rate.
CAND_0088025,90,65.9936,"Staff Machine Learning Engineer with 8.6 years of experience. Verified core AI/Search expertise in pinecone, elasticsearch, hugging face. Verified availability with a 83% platform response rate."
CAND_0068811,91,65.9871,"Applied ML Engineer with 8.0 years of experience. Verified core AI/Search expertise in pinecone, weaviate, qdrant. Verified availability with a 42% platform response rate."
CAND_0061479,92,65.9855,"ML Engineer with 5.0 years of experience. Verified core AI/Search expertise in opensearch, pytorch, llm. Verified availability with a 81% platform response rate."
CAND_0066999,93,65.9787,"Recommendation Systems Engineer with 5.9 years of experience. Verified core AI/Search expertise in faiss, pinecone, opensearch. Verified availability with a 63% platform response rate."
CAND_0060340,94,65.9632,Computer Vision Engineer with 6.1 years of experience. Verified core AI/Search expertise in nlp. Verified availability with a 54% platform response rate.
CAND_0060257,95,65.9445,"AI Specialist with 5.8 years of experience. Verified core AI/Search expertise in weaviate, milvus, opensearch. Verified availability with a 56% platform response rate."
CAND_0005649,96,65.9386,"Senior Data Scientist with 7.4 years of experience. Verified core AI/Search expertise in weaviate, llm, recommendation. Verified availability with a 56% platform response rate."
CAND_0079387,97,65.9273,"AI Engineer with 6.9 years of experience. Verified core AI/Search expertise in opensearch, sentence transformers, recommendation. Verified availability with a 81% platform response rate."
CAND_0012888,98,65.9098,Junior ML Engineer with 6.4 years of experience. Verified core AI/Search expertise in search. Verified availability with a 43% platform response rate.
CAND_0000981,99,65.9018,"ML Engineer with 6.4 years of experience. Verified core AI/Search expertise in pinecone, opensearch, search. Verified availability with a 55% platform response rate."
CAND_0024878,100,65.8796,"AI Specialist with 5.7 years of experience. Verified core AI/Search expertise in elasticsearch, nlp, search. Verified availability with a 84% platform response rate."
